category,name,description,unit_price,unit_of_measure,kind,taxable,sort_order,notes,AI description,,
Turf Care,Weekly Lawn Mowing,Weekly mowing and cleanup of clippings,120,visit,labor,no,10,Core recurring service,,
Turf Care,Bi-Weekly Lawn Mowing,Bi-weekly mowing and cleanup of clippings,140,visit,labor,no,20,Alternative cadence,,
Turf Care,Lawn Edging,Defined edge along walks, curbs, and beds,0.85,ft,labor,no,30,Linear pricing
Turf Care,Overgrowth Mowing Surcharge,Additional charge for first cut on overgrown turf,65,job,service,no,40,Use when grass exceeds maintenance height,,
Turf Care,Core Aeration,Mechanical core aeration to reduce compaction,180,service,labor,no,50,Spring/fall service,,
Turf Care,Overseed (Cool Season),Overseed after aeration for turf density,0.12,sq ft,materials,yes,60,Seed-only line,,
Turf Care,Fertilizer Application,Granular fertilizer application,95,application,materials,yes,70,Per application rate,,
Turf Care,Pre-Emergent Application,Pre-emergent weed control treatment,110,application,materials,yes,80,Seasonal treatment,,
Bed & Mulch,Mulch Refresh 2in,Supply and install hardwood mulch at 2 inch depth,1.95,sq ft,materials,yes,110,Includes install labor,,
Bed & Mulch,Mulch Bed Weeding,Hand weed mulch bed areas,0.65,sq ft,labor,no,120,Prep line item,,
Bed & Mulch,Bed Edge Recut,Recut and define mulch bed edges,1.1,ft,labor,no,130,Linear pricing,,
Bed & Mulch,Pine Straw Install,Supply and install pine straw,1.45,sq ft,materials,yes,140,Regional option,,
Shrubs & Hedges,Hedge Trimming up to 6ft,Shape and trim hedges up to 6 feet tall,2.75,ft,labor,no,210,Linear pricing,,
Shrubs & Hedges,Hedge Trimming 6ft-10ft,Shape and trim hedges between 6 and 10 feet,3.95,ft,labor,no,220,Premium height tier,,
Shrubs & Hedges,Shrub Pruning,Selective pruning for ornamental shrubs,28,each,labor,no,230,Per shrub,,
Shrubs & Hedges,Shrub Removal,Remove shrub and haul debris,95,each,labor,no,240,Excludes stump grinding,,
Trees,Tree Pruning up to 15ft,Canopy lift and thinning for trees up to 15 feet,285,each,labor,no,310,Per tree,,
Trees,Tree Pruning 15ft-30ft,Canopy lift and thinning for trees 15 to 30 feet,485,each,labor,no,320,Per tree,,
Trees,Small Tree Removal,Remove small tree and haul debris,650,each,labor,no,330,Stump not included,,
Trees,Stump Grinding,Grind stump below grade,145,each,labor,no,340,Per stump up to 18in,,
Cleanup & Haul,Spring Cleanup,Bed cleanup, cutback, and debris removal,325,service,labor,no,410,Season opener
Cleanup & Haul,Fall Leaf Cleanup,Leaf removal and haul-away service,345,service,labor,no,420,Seasonal service,,
Cleanup & Haul,Debris Haul Away,Load and dispose green waste/debris,95,load,service,no,430,Per trailer load,,
Cleanup & Haul,Storm Cleanup,Storm debris cleanup and haul-away,140,hour,labor,no,440,Time and materials optional,,
Hardscape & Drainage,Drainage Swale Installation,Excavate and form drainage swale,24,ft,labor,no,510,Site dependent,,
Hardscape & Drainage,French Drain Installation,Install perforated drain with rock and fabric,58,ft,labor,no,520,Material-inclusive allowance,,
Hardscape & Drainage,Downspout Extension,Extend downspout to improve runoff management,165,each,labor,no,530,Standard 10-15 ft extension,,
Hardscape & Drainage,Minor Grading,Minor grading to improve drainage and finish,135,hour,labor,no,540,Tracked by hour,,
Irrigation,Irrigation Startup,Pressurize and test irrigation zones for season start,125,service,labor,no,610,Spring service,,
Irrigation,Irrigation Winterization,Blowout and winterize irrigation system,145,service,labor,no,620,Fall service,,
Irrigation,Valve Replacement,Replace irrigation valve and test operation,185,each,materials,yes,630,Includes standard valve,,
Irrigation,Controller Replacement,Replace irrigation controller and reprogram schedule,325,each,materials,yes,640,Controller billed as material,,
Seasonal Enhancements,Annual Color Installation,Install seasonal annual flowers in prepared beds,8.5,each,materials,yes,710,Plant material line,,
Seasonal Enhancements,Sod Installation,Supply and install sod with initial watering,2.95,sq ft,materials,yes,720,Surface prep assumed,,
Seasonal Enhancements,Topsoil Delivery and Spread,Deliver and spread screened topsoil,165,cu yd,materials,yes,730,Volume pricing,,
Seasonal Enhancements,Compost Topdressing,Apply compost topdressing to turf areas,0.14,sq ft,materials,yes,740,Typically paired with aeration,,
Snow & Ice,Snow Plow Driveway,Plow standard residential driveway after trigger depth,95,visit,service,no,810,Trigger depth per contract,,
Snow & Ice,Walkway Shovel and Clear,Clear walkways and entry areas,65,visit,service,no,820,Per visit rate,,
Snow & Ice,Ice Melt Application,Apply de-icing material to walks and entries,0.38,sq ft,materials,yes,830,Material-driven,,
General,Site Visit and Consultation,On-site consultation and scope confirmation,85,visit,service,no,910,Can be credited if job proceeds,,
General,Minimum Service Charge,Minimum ticket amount for on-site service calls,125,job,service,no,920,Use once per work order,,
General,Discount - Loyalty Customer,Loyalty discount line item,-25,job,discount,no,930,Negative amount discount,,
General Landscaping,Free Assessment,Our experts will come to assess your needs and discuss solutions.,2,service,service,yes,10,,,
General Landscaping,Ornamental Pruning,"Selective pruning of ornamental plants to improve shape, plant health, and seasonal appearance.",2,service,labor,yes,20,,,
